day,condition_replicate,condition,replicate,value
0.041666667,AS-1,AS,1,10.28517316
0.041666667,AS-2,AS,2,8.17965368
0.041666667,AS-3,AS,3,7.555952381
0.041666667,AS+lapo-1,AS+lapo,1,4.84978355
0.041666667,AS+lapo-2,AS+lapo,2,6.116017316
0.041666667,AS+lapo-3,AS+lapo,3,5.132900433
0.25,AS-1,AS,1,9.571861472
0.25,AS-2,AS,2,8.277705628
0.25,AS-3,AS,3,10.81634199
0.25,AS+lapo-1,AS+lapo,1,4.38517316
0.25,AS+lapo-2,AS+lapo,2,4.945238095
0.25,AS+lapo-3,AS+lapo,3,5.497835498
1,AS-1,AS,1,11.47705628
1,AS-2,AS,2,10.33257576
1,AS-3,AS,3,10.97835498
1,AS+lapo-1,AS+lapo,1,7.405952381
1,AS+lapo-2,AS+lapo,2,7.409199134
1,AS+lapo-3,AS+lapo,3,8.153030303
2,AS-1,AS,1,10.06569264
2,AS-2,AS,2,9.938744589
2,AS-3,AS,3,11.06179654
2,AS+lapo-1,AS+lapo,1,8.232900433
2,AS+lapo-2,AS+lapo,2,8.394588745
2,AS+lapo-3,AS+lapo,3,8.855952381
3,AS-1,AS,1,8.874458874
3,AS-2,AS,2,8.122835498
3,AS-3,AS,3,8.39491342
3,AS+lapo-1,AS+lapo,1,8.294588745
3,AS+lapo-2,AS+lapo,2,8.813419913
3,AS+lapo-3,AS+lapo,3,7.67478355
4,AS-1,AS,1,5.526731602
4,AS-2,AS,2,9.403246753
4,AS-3,AS,3,10.54253247
4,AS+lapo-1,AS+lapo,1,10.34101732
4,AS+lapo-2,AS+lapo,2,10.00238095
4,AS+lapo-3,AS+lapo,3,9.747186147
5,AS-1,AS,1,7.020021645
5,AS-2,AS,2,5.044047619
5,AS-3,AS,3,5.968722944
5,AS+lapo-1,AS+lapo,1,6.431709957
5,AS+lapo-2,AS+lapo,2,5.895021645
5,AS+lapo-3,AS+lapo,3,6.485606061
6,AS-1,AS,1,6.860930736
6,AS-2,AS,2,5.11969697
6,AS-3,AS,3,4.62034632
6,AS+lapo-1,AS+lapo,1,5.610281385
6,AS+lapo-2,AS+lapo,2,5.367748918
6,AS+lapo-3,AS+lapo,3,5.668398268
7,AS-1,AS,1,7.020021645
7,AS-2,AS,2,5.820779221
7,AS-3,AS,3,6.745454545
7,AS+lapo-1,AS+lapo,1,6.431709957
7,AS+lapo-2,AS+lapo,2,5.895021645
7,AS+lapo-3,AS+lapo,3,6.485606061
8,AS-1,AS,1,7.164718615
8,AS-2,AS,2,5.25530303
8,AS-3,AS,3,5.695562771
8,AS+lapo-1,AS+lapo,1,4.008225108
8,AS+lapo-2,AS+lapo,2,5.093939394
8,AS+lapo-3,AS+lapo,3,4.294264069
9,AS-1,AS,1,5.860497835
9,AS-2,AS,2,5.111147186
9,AS-3,AS,3,6.347186147
9,AS+lapo-1,AS+lapo,1,5.546212121
9,AS+lapo-2,AS+lapo,2,5.862121212
9,AS+lapo-3,AS+lapo,3,5.488095238
10,AS-1,AS,1,4.931493506
10,AS-2,AS,2,5.459090909
10,AS-3,AS,3,3.667532468
10,AS+lapo-1,AS+lapo,1,4.041233766
10,AS+lapo-2,AS+lapo,2,3.802597403
10,AS+lapo-3,AS+lapo,3,3.979545455
11,AS-1,AS,1,2.038636364
11,AS-2,AS,2,1.54512987
11,AS-3,AS,3,1.143181818
11,AS+lapo-1,AS+lapo,1,4.507467532
11,AS+lapo-2,AS+lapo,2,2.721103896
11,AS+lapo-3,AS+lapo,3,2.601948052
12,AS-1,AS,1,0.756168831
12,AS-2,AS,2,1.751298701
12,AS-3,AS,3,2.229220779
12,AS+lapo-1,AS+lapo,1,3.522727273
12,AS+lapo-2,AS+lapo,2,3.691558442
12,AS+lapo-3,AS+lapo,3,3.491233766
13,AS-1,AS,1,1.067857143
13,AS-2,AS,2,2.473376623
13,AS-3,AS,3,0.822727273
13,AS+lapo-1,AS+lapo,1,3.323376623
13,AS+lapo-2,AS+lapo,2,3.371753247
13,AS+lapo-3,AS+lapo,3,3.211038961
14,AS-1,AS,1,0.08452381
14,AS-2,AS,2,0.191991342
14,AS-3,AS,3,0.089393939
14,AS+lapo-1,AS+lapo,1,3.18517316
14,AS+lapo-2,AS+lapo,2,3.218939394
14,AS+lapo-3,AS+lapo,3,1.867965368
15,AS-1,AS,1,0.32965368
15,AS-2,AS,2,0.107900433
15,AS-3,AS,3,0.093939394
15,AS+lapo-1,AS+lapo,1,2.580952381
15,AS+lapo-2,AS+lapo,2,2.40952381
15,AS+lapo-3,AS+lapo,3,2.304978355
