day,sample,condition,replicate,cumulative_percentage
0.041666667,500_NaCl_lapo-1,500_NaCl_ lapo,1,21.7012987
0.041666667,500_NaCl_lapo-2,500_NaCl_ lapo,2,20.54220779
0.041666667,500_NaCl_lapo-3,500_NaCl_ lapo,3,22.44155844
0.041666667,PBS_lapo-1,PBS_ lapo,1,10.59902597
0.041666667,PBS_lapo-2,PBS_ lapo,2,12.82142857
0.041666667,PBS_lapo-3,PBS_ lapo,3,13.17532468
0.25,500_NaCl_lapo-1,500_NaCl_ lapo,1,50.17045455
0.25,500_NaCl_lapo-2,500_NaCl_ lapo,2,45.52435065
0.25,500_NaCl_lapo-3,500_NaCl_ lapo,3,54.00487013
0.25,PBS_lapo-1,PBS_ lapo,1,30.44805195
0.25,PBS_lapo-2,PBS_ lapo,2,40.77435065
0.25,PBS_lapo-3,PBS_ lapo,3,41.04707792
1,500_NaCl_lapo-1,500_NaCl_ lapo,1,85.63906926
1,500_NaCl_lapo-2,500_NaCl_ lapo,2,71.71212121
1,500_NaCl_lapo-3,500_NaCl_ lapo,3,91.99296537
1,PBS_lapo-1,PBS_ lapo,1,47.33170996
1,PBS_lapo-2,PBS_ lapo,2,53.04437229
1,PBS_lapo-3,PBS_ lapo,3,54.12554113
2,500_NaCl_lapo-1,500_NaCl_ lapo,1,86.91450216
2,500_NaCl_lapo-2,500_NaCl_ lapo,2,80.8982684
2,500_NaCl_lapo-3,500_NaCl_ lapo,3,93.21482684
2,PBS_lapo-1,PBS_ lapo,1,62.80465368
2,PBS_lapo-2,PBS_ lapo,2,65.70887446
2,PBS_lapo-3,PBS_ lapo,3,69.46212121
3,500_NaCl_lapo-1,500_NaCl_ lapo,1,87.62337662
3,500_NaCl_lapo-2,500_NaCl_ lapo,2,81.36525974
3,500_NaCl_lapo-3,500_NaCl_ lapo,3,93.4724026
3,PBS_lapo-1,PBS_ lapo,1,71.47510823
3,PBS_lapo-2,PBS_ lapo,2,76.21536797
3,PBS_lapo-3,PBS_ lapo,3,79.71212121
4,500_NaCl_lapo-1,500_NaCl_ lapo,1,87.62337662
4,500_NaCl_lapo-2,500_NaCl_ lapo,2,81.36525974
4,500_NaCl_lapo-3,500_NaCl_ lapo,3,93.4724026
4,PBS_lapo-1,PBS_ lapo,1,88.01893939
4,PBS_lapo-2,PBS_ lapo,2,92.91179654
4,PBS_lapo-3,PBS_ lapo,3,96.22186147
5,500_NaCl_lapo-1,500_NaCl_ lapo,1,87.62337662
5,500_NaCl_lapo-2,500_NaCl_ lapo,2,81.5
5,500_NaCl_lapo-3,500_NaCl_ lapo,3,93.98214286
5,PBS_lapo-1,PBS_ lapo,1,88.01893939
5,PBS_lapo-2,PBS_ lapo,2,92.91179654
5,PBS_lapo-3,PBS_ lapo,3,96.22186147
6,500_NaCl_lapo-1,500_NaCl_ lapo,1,87.62337662
6,500_NaCl_lapo-2,500_NaCl_ lapo,2,81.5
6,500_NaCl_lapo-3,500_NaCl_ lapo,3,94.08116883
6,PBS_lapo-1,PBS_ lapo,1,88.01893939
6,PBS_lapo-2,PBS_ lapo,2,92.91179654
6,PBS_lapo-3,PBS_ lapo,3,96.22186147
7,500_NaCl_lapo-1,500_NaCl_ lapo,1,87.83170996
7,500_NaCl_lapo-2,500_NaCl_ lapo,2,81.64015152
7,500_NaCl_lapo-3,500_NaCl_ lapo,3,94.19209957
7,PBS_lapo-1,PBS_ lapo,1,88.23322511
7,PBS_lapo-2,PBS_ lapo,2,92.91179654
7,PBS_lapo-3,PBS_ lapo,3,96.22186147
