group,x,y
Diffusion-controlled,0.083,20.7496489578617
Diffusion-controlled,0.083,23.2911536679025
Diffusion-controlled,0.083,19.2795987514783
Diffusion-controlled,0.083,23.8396798643142
Diffusion-controlled,0.083,21.7699076831874
Diffusion-controlled,0.25,41.6717545518752
Diffusion-controlled,0.25,49.7606875282929
Diffusion-controlled,0.25,38.8793905280087
Diffusion-controlled,0.25,45.2993411308111
Diffusion-controlled,0.25,43.5886707662686
Diffusion-controlled,1,71.2276624774087
Diffusion-controlled,1,82.4534339290395
Diffusion-controlled,1,71.2561858396221
Diffusion-controlled,1,72.1996508974502
Diffusion-controlled,1,70.5767447243333
Diffusion-controlled,2,90.4336855817417
Diffusion-controlled,2,104.819699292966
Diffusion-controlled,2,92.8589027381435
Diffusion-controlled,2,93.2582298091312
Diffusion-controlled,2,90.7752345600409
Diffusion-controlled,3,93.0952809603834
Diffusion-controlled,3,107.223853043425
Diffusion-controlled,3,96.9963992692634
Diffusion-controlled,3,94.2457232363241
Diffusion-controlled,3,92.2754171388135
Diffusion-controlled,4,93.0952809603834
Diffusion-controlled,4,107.223853043425
Diffusion-controlled,4,97.1292157456217
Diffusion-controlled,4,94.2457232363241
Diffusion-controlled,4,92.5515817945004
Diffusion-controlled,5,96.374004878402
Diffusion-controlled,5,107.774573344622
Diffusion-controlled,5,97.1292157456217
Diffusion-controlled,5,94.7883984866409
Diffusion-controlled,5,92.7805000604698
Diffusion-controlled,6,96.374004878402
Diffusion-controlled,6,107.774573344622
Diffusion-controlled,6,97.1292157456217
Diffusion-controlled,6,94.7883984866409
Diffusion-controlled,6,92.9023460128991
Diffusion-controlled,7,96.7506595332712
Diffusion-controlled,7,108.238992190918
Diffusion-controlled,7,97.1438431108592
Diffusion-controlled,7,94.7883984866409
Diffusion-controlled,7,92.9023460128991
Diffusion-controlled,8,96.8201395181501
Diffusion-controlled,8,108.243380400489
Diffusion-controlled,8,97.1438431108592
Diffusion-controlled,8,94.7883984866409
Diffusion-controlled,8,92.9023460128991
Diffusion-controlled,9,97.2855822800117
Diffusion-controlled,9,108.243380400489
Diffusion-controlled,9,101.700998750647
Diffusion-controlled,9,95.1072750488217
Diffusion-controlled,9,92.9506163181834
Diffusion-controlled,10,97.2855822800117
Diffusion-controlled,10,108.243380400489
Diffusion-controlled,10,101.700998750647
Diffusion-controlled,10,95.6783273876996
Diffusion-controlled,10,93.7988572283144
Diffusion-controlled,11,98.4235912955008
Diffusion-controlled,11,108.470835929935
Diffusion-controlled,11,103.281485564575
Diffusion-controlled,11,95.6783273876996
Diffusion-controlled,11,93.7988572283144
Diffusion-controlled,12,98.4235912955008
Diffusion-controlled,12,108.470835929935
Diffusion-controlled,12,103.281485564575
Diffusion-controlled,12,95.7580465282443
Diffusion-controlled,12,93.7988572283144
Diffusion-controlled,13,98.4235912955008
Diffusion-controlled,13,108.819698590852
Diffusion-controlled,13,103.457891589341
Diffusion-controlled,13,96.2262684895015
Diffusion-controlled,13,94.4110124635101
Diffusion-controlled,14,98.7878126899179
Diffusion-controlled,14,108.83988435488
Diffusion-controlled,14,103.457891589341
Diffusion-controlled,14,96.424176741167
Diffusion-controlled,14,95.0587121962328
Dissolution-controlled,0.083,7.77148844189346
Dissolution-controlled,0.083,8.76017501812163
Dissolution-controlled,0.083,6.48756906859717
Dissolution-controlled,0.083,7.8401472319093
Dissolution-controlled,0.083,8.66233624234905
Dissolution-controlled,0.25,17.1444088315115
Dissolution-controlled,0.25,16.9878667902754
Dissolution-controlled,0.25,13.5623081094099
Dissolution-controlled,0.25,16.9693289169712
Dissolution-controlled,0.25,16.7302246807409
Dissolution-controlled,1,26.7988302601945
Dissolution-controlled,1,29.1026759591761
Dissolution-controlled,1,22.9793417716131
Dissolution-controlled,1,26.874869870137
Dissolution-controlled,1,25.5492402819062
Dissolution-controlled,2,37.040730625648
Dissolution-controlled,2,38.5900162223556
Dissolution-controlled,2,32.8757167763119
Dissolution-controlled,2,37.4293393771377
Dissolution-controlled,2,34.9828550418982
Dissolution-controlled,3,47.5230740737372
Dissolution-controlled,3,49.0431796846879
Dissolution-controlled,3,43.1129483440444
Dissolution-controlled,3,48.315568157495
Dissolution-controlled,3,44.9037412346326
Dissolution-controlled,4,55.6836175492554
Dissolution-controlled,4,57.5305390006816
Dissolution-controlled,4,51.9696919503232
Dissolution-controlled,4,57.237709261264
Dissolution-controlled,4,53.1530261962464
Dissolution-controlled,5,64.1755083453901
Dissolution-controlled,5,66.6952859389716
Dissolution-controlled,5,60.6116022026426
Dissolution-controlled,5,66.9057251303702
Dissolution-controlled,5,61.5616682094869
Dissolution-controlled,6,71.7951922025585
Dissolution-controlled,6,74.202369380514
Dissolution-controlled,6,68.5786995372912
Dissolution-controlled,6,74.0336404040501
Dissolution-controlled,6,69.0666918873289
Dissolution-controlled,7,78.4295537642095
Dissolution-controlled,7,81.2855877818936
Dissolution-controlled,7,75.2527115501764
Dissolution-controlled,7,80.3133793152693
Dissolution-controlled,7,75.3287511601189
Dissolution-controlled,8,85.2501179643836
Dissolution-controlled,8,87.8708239792883
Dissolution-controlled,8,82.0861492734784
